years,zero_rates,discount_factor,tenor_date
0.003968254,0.01110682,0.999955926,1-Jul-23
0.347945205,0.015110682,0.994756108,4-Nov-23
0.436446658,0.016120621,0.992988902,6-Dec-23
0.524948111,0.017109844,0.991058435,8-Jan-24
0.613449564,0.018078586,0.98897097,9-Feb-24
0.701951017,0.01902708,0.986732718,12-Mar-24
0.790452469,0.019955561,0.984349834,14-Apr-24
0.878953922,0.020864262,0.981828406,16-May-24
0.967455375,0.021753418,0.979174449,17-Jun-24
1.055956828,0.022623263,0.976393899,19-Jul-24
1.144458281,0.02347403,0.973492607,21-Aug-24
1.232959734,0.024305955,0.970476333,22-Sep-24
1.321461187,0.02511927,0.96735074,24-Oct-24
1.40996264,0.02591421,0.964121391,26-Nov-24
1.498464093,0.026691009,0.960793744,28-Dec-24
1.586965545,0.027449902,0.957373149,29-Jan-25
1.675466998,0.028191121,0.953864841,3-Mar-25
1.763968451,0.028914902,0.950273943,4-Apr-25
1.852469904,0.029621478,0.946605457,6-May-25
1.940971357,0.030311084,0.942864266,7-Jun-25
2.02947281,0.030983953,0.939055131,10-Jul-25
2.117974263,0.031640319,0.935182687,11-Aug-25
2.206475716,0.032280417,0.931251446,12-Sep-25
2.294977169,0.03290448,0.927265792,15-Oct-25
2.383478621,0.033512744,0.923229981,16-Nov-25
2.471980074,0.034105441,0.919148143,18-Dec-25
2.560481527,0.034682805,0.915024276,20-Jan-26
2.64898298,0.035245072,0.910862254,21-Feb-26
2.737484433,0.035792475,0.90666582,25-Mar-26
2.825985886,0.036325247,0.902438589,26-Apr-26
2.914487339,0.036843624,0.898184051,29-May-26
3.002988792,0.037347839,0.893905565,30-Jun-26
3.091490245,0.037838126,0.889606369,1-Aug-26
3.179991697,0.038314719,0.885289571,3-Sep-26
3.26849315,0.038777853,0.88095816,5-Oct-26
3.356994603,0.039227761,0.876614999,6-Nov-26
3.445496056,0.039664677,0.872262832,9-Dec-26
3.533997509,0.040088836,0.867904281,10-Jan-27
3.622498962,0.040500471,0.863541852,11-Feb-27
3.711000415,0.040899817,0.859177932,16-Mar-27
3.799501868,0.041287108,0.854814797,17-Apr-27
3.888003321,0.041662578,0.850454607,19-May-27
3.976504773,0.04202646,0.84609941,20-Jun-27
4.065006226,0.04237899,0.841751148,23-Jul-27
4.153507679,0.0427204,0.837411654,24-Aug-27
4.242009132,0.043050925,0.833082653,25-Sep-27
4.330510585,0.0433708,0.828765772,28-Oct-27
4.419012038,0.043680257,0.824462531,29-Nov-27
4.507513491,0.043979532,0.820174355,31-Dec-27
4.596014944,0.044268858,0.815902568,2-Feb-28
4.684516397,0.044548469,0.811648402,5-Mar-28
4.773017849,0.0448186,0.807412993,6-Apr-28
4.861519302,0.045079484,0.803197387,8-May-28
4.950020755,0.045331356,0.79900254,10-Jun-28
5.038522208,0.04557445,0.794829322,12-Jul-28
5.127023661,0.045808999,0.790678517,13-Aug-28
5.215525114,0.046035237,0.786550825,15-Sep-28
5.304026567,0.0462534,0.782446865,17-Oct-28
5.39252802,0.04646372,0.778367179,18-Nov-28
5.481029473,0.046666433,0.774312226,21-Dec-28
5.569530925,0.046861771,0.770282396,22-Jan-29
5.658032378,0.047049969,0.766278,23-Feb-29
5.746533831,0.047231262,0.76229928,27-Mar-29
5.835035284,0.047405883,0.758346406,29-Apr-29
5.923536737,0.047574065,0.754419481,31-May-29
6.01203819,0.047736045,0.750518541,2-Jul-29
6.100539643,0.047892054,0.746643556,4-Aug-29
6.189041096,0.048042328,0.742794434,5-Sep-29
6.277542549,0.048187101,0.738971019,7-Oct-29
6.366044001,0.048326606,0.735173099,9-Nov-29
6.454545454,0.048461077,0.7314004,11-Dec-29
6.543046907,0.04859075,0.727652591,12-Jan-30
6.63154836,0.048715857,0.723929288,14-Feb-30
6.720049813,0.048836633,0.72023005,18-Mar-30
6.808551266,0.048953311,0.716554386,19-Apr-30
6.897052719,0.049066127,0.712901751,21-May-30
6.985554172,0.049175314,0.709271552,23-Jun-30
7.074055625,0.049281106,0.705663149,25-Jul-30
